CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,"CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE",null
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
11,7063667,Τομάτες,2.35,3.8,ntomates.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
12,7063697,Τοματίνια,6.35,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
13,7063652,Αγγούρια,0.78,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
14,7063710,Κολοκύθια,3.15,7.19,kolokuthia.jpg,Λαχανικά,kg,,ab,17-03-2026,23-03-2026,,
15,7063845,Μαρούλια,1.1,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
17.1,7064162,Πατάτες Κύπρου,1.62,1.62,patates_kuprou.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
17.2,7335944,Πατάτες εγχώριες,0.83,2.08,patates_egxories.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
18,7064239,Σκόρδα (κομμάτι),0.62,0.62,skorda.jpg,Λαχανικά,τμχ.,,ab,17-03-2026,23-03-2026,,
19,7064213,Κρεμμύδια ξερά,0.9,2.65,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
2,7062943,Λεμόνια,1.98,2.09,lemonia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
20,7064229,Κρεμμύδια φρέσκα,2.79,2.79,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
21,7063904,Σπανάκι,2.19,4.62,spanaki.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
22,7063905,Παντζάρια,1.48,3.85,pantzaria.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
23,7063924,Καρότα,0.77,2.35,karota.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
25,7063804,Λάχανα,0.52,1.28,laxana.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
26,7063767,Κουνουπίδια,1.98,4.67,kounoupidia.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
27,7063823,Μπρόκολο,3.25,6.23,mprokolo.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
28.1,7063729,Πιπεριές χονδρές,4.65,5.25,piperies_xondres.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
28.2,7063738,Πιπεριές μακριές,4.25,4.25,piperies_makries.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
29,7063831,Μελιτζάνες,3.98,5.25,melitzanes.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
30,7064307,Μαϊντανός,0.75,1.68,maintanos.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
31,7064310,Άνηθος,0.79,2.05,anithos.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
32,7064311,Σέλινο,1.82,2.99,selino.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
33,7063776,Φασολάκια ,5.15,5.15,fasolakia.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.79,portokalia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
5,7062908,Μανταρίνια,2.09,2.92,mantarinia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
6,7125570,Αχλάδια,2.19,7.25,axladia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
7.1,7062828,Μήλα Golden Delicious,1.98,4.95,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
7.2,7062840,Μήλα Granny Smith ,1.98,4.95,mila_granny_smith.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
7.3,7633877,Μήλα Starkin Delicious,1.65,4.09,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
7.4,7062808,Μήλα Gala,1.98,4.67,mila_gala.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
8,7063274,Ρόδια,2.95,3.35,rodia.jpg,Φρούτα,Kg,,ab,17-03-2026,23-03-2026,,
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,17-03-2026,23-03-2026,,
5,16645,Μανταρίνια,3.1,3.1,16645.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
22,19002,Παντζάρια,1.59,1.59,19002.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
11,19004,Τομάτες,2.35,2.35,19004.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
14,19008,Κολοκύθια,3.29,3.29,19008.jpg,Λαχανικά,kg,,bazaar,17-03-2026,23-03-2026,,
7.2,19023,Μήλα Granny Smith,2.29,2.29,19023.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
26,19028,Κουνουπίδια,3.29,3.29,19028.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
