CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
11,7063667,Τομάτες,1.55,2.69,ntomates.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
12,7063697,Τοματίνια,4.57,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
13,7063652,Αγγούρια,0.55,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
14,7063710,Κολοκύθια,1.78,5.12,kolokuthia.jpg,Λαχανικά,kg,,ab,01-04-2025,07-04-2025,
15,7063845,Μαρούλια,0.72,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
17.2,7335944,Πατάτες εγχώριες,1.03,2.69,patates_egxories.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
18,7064239,Σκόρδα (κομμάτι),0.68,0.68,skorda.jpg,Λαχανικά,τμχ.,,ab,01-04-2025,07-04-2025,
19,7064213,Κρεμμύδια ξερά,0.78,1.95,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
2,7062943,Λεμόνια,1.09,2.19,lemonia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
20,7064229,Κρεμμύδια φρέσκα,2.32,2.32,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
21,7063904,Σπανάκι,1.99,5.99,spanaki.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
22,7063905,Παντζάρια,1.39,4.95,pantzaria.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
23,7063924,Καρότα,0.83,2.12,karota.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
25,7063804,Λάχανα,0.65,1.42,laxana.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
26,7063767,Κουνουπίδια,1.35,5.19,kounoupidia.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
27,7063823,Μπρόκολο,2.15,5.75,mprokolo.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
28.1,7063729,Πιπεριές χονδρές,3.79,5.49,piperies_xondres.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
28.2,7063738,Πιπεριές μακριές,3.65,3.65,piperies_makries.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
29,7063831,Μελιτζάνες,2.55,5.68,melitzanes.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
30,7064307,Μαϊντανός,0.69,1.35,maintanos.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
31,7064310,Άνηθος,0.69,2.08,anithos.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
32,7064311,Σέλινο,1.87,2.99,selino.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
33,7063776,Φασολάκια ,5.86,5.86,fasolakia.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
4,7062871,Πορτοκάλια Βαλέντσια ,1.05,1.75,portokalia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
6,7125570,Αχλάδια,1.52,6.22,axladia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
7.1,7062828,Μήλα Golden Delicious,1.83,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
7.2,7062840,Μήλα Granny Smith ,1.73,4.36,mila_granny_smith.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
7.3,7633877,Μήλα Starkin Delicious,1.29,3.89,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
7.4,7062808,Μήλα Gala,1.95,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
8,7063274,Ρόδια,2.29,2.71,rodia.jpg,Φρούτα,Kg,,ab,01-04-2025,07-04-2025,
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,01-04-2025,07-04-2025,
22,19002,Παντζάρια,1.28,1.99,19002.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
11,19004,Τομάτες,1.45,2.19,19004.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
14,19008,Κολοκύθια,1.8,2.79,19008.jpg,Λαχανικά,kg,,bazaar,01-04-2025,07-04-2025,
7.2,19023,Μήλα Granny Smith,1.75,1.78,19023.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
26,19028,Κουνουπίδια,1.98,2.39,19028.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
29,19034,Μελιτζάνες,1.6,2.1,19034.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
28.2,19036,Πιπεριές μακριές,3.85,4.19,19036.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
6,19042,Αχλάδια,1.75,1.85,19042.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
30,19044,Μαϊντανός,0.55,0.75,19044.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
31,19045,’νηθος,0.55,0.99,19045.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
21,19046,Σπανάκι,1.6,2.1,19046.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
13,19052,Αγγούρια,0.48,1.58,19052.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
7.3,19066,Μήλα Starkin Delicious,1.65,1.98,19066.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
32,19067,Σέλινο,0.59,1.99,19067.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
20,19071,Κρεμμύδια φρέσκα,0.55,0.85,19071.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
27,19076,Μπρόκολο,2.24,2.24,19076.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
4,19100,Πορτοκάλια Βαλέντσια,1.02,1.02,19100.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
15,19119,Μαρούλια,0.8,2.49,19119.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
7.1,19124,Μήλα Golden Delicious,1.79,2.29,19124.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
19,19130,Κρεμμύδια ξερά,0.85,0.96,19130.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
9,19173,Μανιτάρια,2.35,4.56,19173.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
23,19185,Καρότα,0.99,1.04,19185.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
3,19213,Μπανάνες,1.85,1.85,19213.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
10,19792,Αγκινάρες,3.9,3.9,19792.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
28.1,19806,Πιπεριές χονδρές,3.95,4.35,19806.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
5,19909,Μανταρίνια,2.35,2.35,19909.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
25,19935,Λάχανα,0.69,1.44,19935.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
2,19938,Λεμόνια,0.92,1.65,19938.jpg,Φρούτα,Kg,,bazaar,01-04-2025,07-04-2025,
17.3,19986,Πατάτες εισαγωγής,0.85,0.85,19986.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
16,5200374820104,Ρόκα,1.09,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,01-04-2025,07-04-2025,
18,5202336028665,Σκόρδα (κομμάτι),0.55,0.55,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,01-04-2025,07-04-2025,
2,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,1.39,1.39,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
3,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.48,1.85,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
4,397051,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ ΕΓΧΩΡΙΑ,1.4,1.4,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
5,397158,ΜΑΝΤΑΡΙΝΙΑ ΕΓΧΩΡΙΑ/ΕΙΣΑΓΩΓΗΣ,1.65,4.29,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
6,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,1.69,1.69,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
7,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,2.21,2.21,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
7.1,397066,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΓΧΩΡΙΑ,1.83,1.83,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
7.2,397172,ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ,1.78,1.78,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
7.3,397167,ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ,1.38,1.38,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
7.4,397170,ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ,1.7,1.7,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
8,397231,ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ,5.95,5.95,,Φρούτα,Kg,,galaxias,01-04-2025,07-04-2025,
9,397150,ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓ/ΕΓΧΩΡΙΟ,1.95,1.95,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
10,80044420,ΑΓΓΙΝΑΡΕΣ ΤΕΜΑΧΙΟ ΕΓΧΩΡΙΕΣ,1.65,1.65,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
11,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ,1.48,2.85,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
12,80022643,ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ,4.5,4.5,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
13,397004,ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ ,0.5,0.5,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
14,397110,ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ,1.98,1.98,,Λαχανικά,kg,,galaxias,01-04-2025,07-04-2025,
15,397161,ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.75,0.75,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
17.1,397196,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ,1.85,1.85,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
17.2,397197,ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α',1.18,1.18,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
17.3,80029541,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΑΙΓΥΠΤΟΥ,0.78,0.78,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
18,397273,ΣΚΟΡΔΑ ΕΙΣΑΓΩΓΗΣ ΤΕΜΑΧΙΑ,0.63,0.63,,Λαχανικά,τμχ.,,galaxias,01-04-2025,07-04-2025,
19,397125,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ,0.78,0.78,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
19,80021320,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ ΛΕΥΚΑ ΕΓΧΩΡΙΑ,0.78,0.78,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
20,397123,ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.8,0.8,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
21,397246,ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ,1.8,1.8,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
22,397198,ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ,1.38,1.38,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
23,397088,ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ,0.85,0.85,,Λαχανικά,Kg,,galaxias,01-04-2025,07-04-2025,
