CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,PICE_MAX
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,24-06-2025,30-06-2025,
11,7063667,Τομάτες,1.55,2.73,ntomates.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
12,7063697,Τοματίνια,3.25,8.76,ntomatinia.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
13,7063652,Αγγούρια,0.45,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
14,7063710,Κολοκύθια,1.53,5.36,kolokuthia.jpg,Λαχανικά,kg,,ab,24-06-2025,30-06-2025,
15,7063845,Μαρούλια,0.58,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
17.2,7335944,Πατάτες εγχώριες,0.73,2.75,patates_egxories.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,24-06-2025,30-06-2025,
19,7064213,Κρεμμύδια ξερά,1.25,2.25,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
2,7062943,Λεμόνια,1.65,2.88,lemonia.jpg,Φρούτα,Kg,,ab,24-06-2025,30-06-2025,
20,7064229,Κρεμμύδια φρέσκα,2.36,2.36,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
21,7063904,Σπανάκι,1.87,5.72,spanaki.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
22,7063905,Παντζάρια,1.39,4.79,pantzaria.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
23,7063924,Καρότα,0.74,2.08,karota.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
25,7063804,Λάχανα,0.89,1.89,laxana.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
26,7063767,Κουνουπίδια,1.75,5.38,kounoupidia.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
27,7063823,Μπρόκολο,2.37,5.85,mprokolo.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
28.1,7063729,Πιπεριές χονδρές,1.98,4.48,piperies_xondres.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
28.2,7063738,Πιπεριές μακριές,1.78,1.78,piperies_makries.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
29,7063831,Μελιτζάνες,1.73,4.15,melitzanes.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,24-06-2025,30-06-2025,
30,7064307,Μαϊντανός,0.62,1.59,maintanos.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
31,7064310,Άνηθος,0.62,2.26,anithos.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
32,7064311,Σέλινο,1.83,2.99,selino.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
33,7063776,Φασολάκια ,3.78,3.78,fasolakia.jpg,Λαχανικά,Kg,,ab,24-06-2025,30-06-2025,
4,7062871,Πορτοκάλια Βαλέντσια ,1.09,1.75,portokalia.jpg,Φρούτα,Kg,,ab,24-06-2025,30-06-2025,
