CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
11,7063667,Τομάτες,1.9,4.49,ntomates.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
12,7063697,Τοματίνια,3.75,2.79,ntomatinia.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
13,7063652,Αγγούρια,0.49,1.99,aggouria.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
14,7063710,Κολοκύθια,1.87,5.35,kolokuthia.jpg,Λαχανικά,kg,,ab,02-06-2026,08-06-2026,,
15,7063845,Μαρούλια,0.89,1.79,maroulia.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
17.1,7064162,Πατάτες Κύπρου,1.65,1.65,patates_kuprou.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
17.2,7335944,Πατάτες εγχώριες,0.79,2.65,patates_egxories.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
18,7064239,Σκόρδα (κομμάτι),0.64,0.64,skorda.jpg,Λαχανικά,τμχ.,,ab,02-06-2026,08-06-2026,,
19,7064213,Κρεμμύδια ξερά,0.9,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
2,7062943,Λεμόνια,2.15,3.99,lemonia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
20,7064229,Κρεμμύδια φρέσκα,2.93,2.93,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
21,7063904,Σπανάκι,2.25,4.45,spanaki.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
22,7063905,Παντζάρια,1.62,2.89,pantzaria.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
23,7063924,Καρότα,0.89,2.95,karota.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
24,7063936,Ραπανάκια,0.85,0.85,rapanakia.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
25,7063804,Λάχανα,0.59,1.55,laxana.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
26,7063767,Κουνουπίδια,2.45,5.89,kounoupidia.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
27,7063823,Μπρόκολο,3.76,6.69,mprokolo.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
28.1,7063729,Πιπεριές χονδρές,2.93,4.89,piperies_xondres.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
28.2,7063738,Πιπεριές μακριές,2.49,2.49,piperies_makries.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
29,7063831,Μελιτζάνες,1.95,4.19,melitzanes.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
3,7063298,Μπανάνες,1.88,2.09,bananes.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
30,7064307,Μαϊντανός,0.75,1.88,maintanos.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
31,7064310,Άνηθος,0.75,2.09,anithos.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
32,7064311,Σέλινο,1.99,2.99,selino.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
33,7063776,Φασολάκια ,5.89,5.89,fasolakia.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.99,portokalia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
5,7062908,Μανταρίνια,2.09,2.92,mantarinia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
6,7125570,Αχλάδια,2.29,7.15,axladia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
7.1,7062828,Μήλα Golden Delicious,2.15,4.99,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
7.2,7062840,Μήλα Granny Smith ,2.05,4.99,mila_granny_smith.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
7.3,7633877,Μήλα Starkin Delicious,1.55,4.99,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
7.4,7062808,Μήλα Gala,1.98,4.99,mila_gala.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
8,7063274,Ρόδια,2.95,3.35,rodia.jpg,Φρούτα,Kg,,ab,02-06-2026,08-06-2026,,
9,7064279,Μανιτάρια,1.45,1.45,manitaria.jpg,Λαχανικά,Kg,,ab,02-06-2026,08-06-2026,,
22,19002,Παντζάρια,1.76,1.76,19002.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
11,19004,Τομάτες,1.58,1.58,19004.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
14,19008,Κολοκύθια,2.69,2.69,19008.jpg,Λαχανικά,kg,,bazaar,02-06-2026,08-06-2026,,
2,19011,Λεμόνια,2.48,2.48,19011.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
7.2,19023,Μήλα Granny Smith,2.45,2.45,19023.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
26,19028,Κουνουπίδια,2.59,2.59,19028.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
