CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.32,Lemoni.png
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
11,7063667,Τομάτες,1.78,2.83,ntomates.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
12,7063697,Τοματίνια,3.79,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
13,7063652,Αγγούρια,0.43,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
14,7063710,Κολοκύθια,1.79,4.99,kolokuthia.jpg,Λαχανικά,kg,,ab,06-05-2025,12-05-2025,,,,,,,
15,7063845,Μαρούλια,0.66,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
17.2,7335944,Πατάτες εγχώριες,0.97,2.69,patates_egxories.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
18,7064239,Σκόρδα (κομμάτι),0.68,0.68,skorda.jpg,Λαχανικά,τμχ.,,ab,06-05-2025,12-05-2025,,,,,,,
19,7064213,Κρεμμύδια ξερά,1.1,2.05,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
2,7062943,Λεμόνια,1.48,2.25,lemonia.jpg,Φρούτα,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
21,7063904,Σπανάκι,1.93,5.99,spanaki.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
22,7063905,Παντζάρια,1.35,4.95,pantzaria.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
23,7063924,Καρότα,0.74,2.15,karota.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
25,7063804,Λάχανα,0.89,1.29,laxana.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
26,7063767,Κουνουπίδια,1.89,5.3,kounoupidia.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
27,7063823,Μπρόκολο,2.45,5.49,mprokolo.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
28.1,7063729,Πιπεριές χονδρές,2.98,5.27,piperies_xondres.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
28.2,7063738,Πιπεριές μακριές,3.15,3.15,piperies_makries.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
29,7063831,Μελιτζάνες,1.79,5.88,melitzanes.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
3,7063298,Μπανάνες,1.85,2.05,bananes.jpg,Φρούτα,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
30,7064307,Μαϊντανός,0.67,1.29,maintanos.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
31,7064310,Άνηθος,0.67,2.19,anithos.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
32,7064311,Σέλινο,1.83,2.99,selino.jpg,Λαχανικά,Kg,,ab,06-05-2025,12-05-2025,,,,,,,
